Player_ID,Player_Name,Player_Location,Player_Height,Player_Hand
105656,Marcelo Arevalo,ESA,191.0,R
105030,Michael Venus,NZL,191.0,R
105254,Nikola Mektic,CRO,183.0,R
105166,Peter Polansky,CAN,180.0,R
104297,Rogerio Dutra Silva,BRA,178.0,R
105147,Tatsuma Ito,JPN,180.0,R
105217,Thiemo De Bakker,NED,193.0,R
105064,Thomaz Bellucci,BRA,188.0,L
104735,Tobias Kamke,GER,180.0,R
106026,Yuki Bhambri,IND,183.0,R
105585,Ze Zhang,CHN,188.0,R
